L/S,n_neurons,alpha,accuracy
short,275,0.001,0.9546742209631728
short,275,0.0015,0.9405099150141643
short,275,0.002,0.9348441926345609
short,300,0.001,0.943342776203966
short,300,0.0015,0.943342776203966
short,300,0.002,0.9291784702549575
short,325,0.001,0.8980169971671388
short,325,0.0015,0.9348441926345609
short,325,0.002,0.9348441926345609
short,350,0.001,0.9518413597733711
short,350,0.0015,0.8923512747875354
short,350,0.002,0.9490084985835694
short,375,0.001,0.943342776203966
short,375,0.0015,0.9121813031161473
short,375,0.002,0.9206798866855525
short,400,0.001,0.9348441926345609
short,400,0.0015,0.943342776203966
short,400,0.002,0.9263456090651558
short,40,0.001,0.9490084985835694
short,40,0.0015,0.9461756373937678
short,40,0.002,0.8951841359773371
short,45,0.001,0.9036827195467422
short,45,0.0015,0.8555240793201133
short,45,0.002,0.7648725212464589
short,50,0.001,0.9206798866855525
short,50,0.0015,0.9291784702549575
short,50,0.002,0.8838526912181303
short,55,0.001,0.9490084985835694
short,55,0.0015,0.9405099150141643
short,55,0.002,0.9461756373937678
short,60,0.001,0.943342776203966
short,60,0.0015,0.9291784702549575
short,60,0.002,0.9348441926345609
short,65,0.001,0.8441926345609065
short,65,0.0015,0.9320113314447592
short,65,0.002,0.943342776203966
